Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin K	0.84	Homo sapiens	COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1-c1c(O)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12
Cathepsin K	0.9	Homo sapiens	CC(C)(C)Cn1c(CN2CCC3(CC2)NC(=O)NC3=O)cc2cnc(C#N)nc21
Cathepsin K	54.0	Homo sapiens	CCOC(=O)N1CCCC(NC(=O)[C@H](CC(C)(C)F)N[C@@H](c2ccc(-c3ccc(S(C)(=O)=O)cc3)cc2)C(F)(F)F)C(=O)C1
Cathepsin K	10.0	Homo sapiens	CC(=O)CN1CCN(c2ccc(-c3cccc(C(CC(C)C)C(=O)NCC#N)c3)cc2)CC1
Cathepsin K	9.0	Homo sapiens	CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc(N3CCNCC3)cc2)c1
Cathepsin K	71.0	Homo sapiens	CCCC[C@@H](C=O)NC(=O)OC(Cc1ccccc1)Cc1ccccc1
Cathepsin K	18.0	Homo sapiens	N#CN1CCC(NS(=O)(=O)c2ccccc2)C1
Cathepsin K	15.85	Homo sapiens	N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nc4cnccc4s3)CC2)CC1
Cathepsin K	0.56	Homo sapiens	CCCC[C@@H](C=O)NC(=O)OC(C(C)C)C(C)C
Cathepsin K	2.4	Homo sapiens	CC(C)CC(NC(=O)c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(=O)N(C)N(C)C#N
Cathepsin K	24999.9	Homo sapiens	N#CC1(NC(=O)[C@@H]2Cc3ccc(c(Cl)c3)OCCCCOc3cc(C(F)(F)F)ccc3C(=O)N2)CC1
Cathepsin K	3.02	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1CN(C(=O)Cc2ccccc2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	28.84	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1CN(C(=O)Oc2ccccc2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	5.012	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1CN(C(=O)Oc2ccc(-c3ccccc3)cc2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	0.4169	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1CN(C(=O)c2ccc(C(F)(F)F)cc2)CC1(C)C)C(=O)C(=O)Nc1cc[nH]n1
Cathepsin K	11.0	Homo sapiens	CCCc1cc(-c2cccc(C(C)(C)C)c2)nc(C#N)n1
Cathepsin K	8.913	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1CN(C(=O)c2ccno2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	0.3	Homo sapiens	CC(C)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)F)C(=O)NCC#N
Cathepsin K	100000.1	Homo sapiens	CC[C@H](C(=O)N[C@H]1CCN(CC(=O)NC/C=C/S(C)(=O)=O)C1=O)c1cc(Cl)cc(Cl)c1
Cathepsin K	10000.0	Homo sapiens	N#CN1CCCC(CCc2ccccc2)C1
Cathepsin K	25118.96	Homo sapiens	CC(C)(C)OC(=O)N1CC[C@@H](NS(=O)(=O)c2cccc(Br)c2)C1
Cathepsin K	25118.96	Homo sapiens	COc1ccc(OC)c(S(=O)(=O)N[C@@H]2C[C@@H](C)N(C#N)C2)c1
Cathepsin K	251.19	Homo sapiens	C[C@H]1C[C@@H](NS(=O)(=O)c2cccc(Br)c2)CN1C#N
Cathepsin K	4.6	Homo sapiens	CCCC[C@@H](C=O)NC(=O)OC(C)(C)Cc1ccc(Cl)cc1
Cathepsin K	230.0	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H](C)CC1CCCCC1)C(=O)c1nc(C(=O)OCC)cs1
Cathepsin K	13000.0	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H](C)CC1CCCCC1)C(=O)c1nc(C(F)(F)F)cs1
Cathepsin K	13000.1	Homo sapiens	CCCC[C@H](NC(=O)OC(CC)Cc1ccccc1)C(=O)c1nc(C(=O)OCC)cs1
Cathepsin K	630.0	Homo sapiens	CCCC[C@H](NC(=O)OC(C)(C)Cc1ccccc1)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	71.0	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CC)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	200.0	Homo sapiens	C[C@@H](C=O)NC(=O)OC(C)(C)C
Cathepsin K	871.0	Homo sapiens	Cn1cnc2c(C#N)nc(-c3ccc(OCCCN4CCCC4)c(C(F)(F)F)c3)cc21
Cathepsin K	3162.0	Homo sapiens	Cn1cnc2c(C#N)nc(-c3ccc(CCO)c(C(F)(F)F)c3)cc21
Cathepsin K	10000.1	Homo sapiens	CCNc1ccc(-c2cc3[nH]cnc3c(C#N)n2)cc1C(F)(F)F
Cathepsin K	2691.0	Homo sapiens	N#Cc1nc(-c2ccc(OCCCO)c(C(F)(F)F)c2)cc2[nH]cnc12
