Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin S	 2.844	Homo sapiens	Fc1cc(Cl)cnc1C1(CC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ncccc1Cl
Cathepsin S	 2.866	Homo sapiens	CCCCNC(=O)C(=O)[C@H](CC)NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ncc(Cl)cc1F)S(=O)(=O)c1ccccc1Cl
Cathepsin S	 2.876	Homo sapiens	CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ncc(Cl)cc1F)S(=O)(=O)c1ccc(OCC(F)(F)F)cc1Cl)C(=O)C(=O)NC1CC1
Cathepsin S	 2.9	Homo sapiens	CCOc1ccc(cc1C(F)(F)F)-c1nc(nc2n(CC(=O)NC3CCN(C)CC3)ccc12)C#N
Cathepsin S	 2.9	Homo sapiens	CCOc1ccc(C(=O)NC(C)C(=O)C(=O)Nc2ccn[nH]2)c(Cl)c1C(F)(F)F
Cathepsin S	 2.9	Homo sapiens	CN(C)C(=O)CN1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(CC4CCOC4)ccc23)C#N)CC1
Cathepsin S	 2.9	Homo sapiens	CC(C)C[C@H](NC(=O)c1ccco1)C(=O)N[C@H]1CC[C@@H](C)N(CC1=O)S(=O)(=O)c1ccccn1
Cathepsin S	 2.9	Homo sapiens	CCN1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(ccc23)C2COC2)C#N)CC1
Cathepsin S	 2.917	Homo sapiens	Fc1cc(Cl)cnc1C1(CNC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ccc(OCC(F)(F)F)cc1Cl
Cathepsin S	 2.934	Homo sapiens	CCCCNC(=O)C(=O)[C@H](CCC)NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ncc(Cl)cc1F)S(=O)(=O)c1ccccc1Cl
Cathepsin S	 2.978	Homo sapiens	CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ncc(Br)cc1F)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)NC1CC1
Cathepsin S	 2.979	Homo sapiens	CC[C@H](NC(=O)[C@@H]1C[C@H](CN1c1cc(C)nn1C1CCC1)S(=O)(=O)c1ccc(F)cc1C(F)(F)F)C(=O)C(=O)NC1CC1
Cathepsin S	 2.996	Homo sapiens	Fc1cc(Cl)cnc1C1(CC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ccc(Cl)cn1
Cathepsin S	 3	Homo sapiens	CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(nc1OCC1CCN(C)CC1)C#N
Cathepsin S	 3	Homo sapiens	CN1CCC(CC1)Oc1ccc(NC(=O)c2cnc(nc2NCC2CCC3(CC3)CC2)C#N)c(c1)-c1ccccc1
Cathepsin S	 3.0	Homo sapiens	CCN1CCCC(COc2ccc(cc2C(F)(F)F)-c2nc(nc3n(C)ccc23)C#N)C1
Cathepsin S	 3.00	Homo sapiens	NC(=O)N1CCc2c(C1)c(nn2C[C@@H](O)CN1CCC(CC1)C1CCNCC1)-c1ccc(Cl)c(c1)C#Cc1ccc(Cl)cc1
Cathepsin S	 3.0	Homo sapiens	CCn1ccc2c(nc(nc12)C#N)-c1ccc(OCCC2CCNCC2)c(c1)C(F)(F)F
Cathepsin S	 3	Homo sapiens	O=C(N[C@@H](Cc1ccc2ccccc2c1)C(=O)N[C@H]1[C@H]2N(CCS2(=O)=O)C1=O)OCc1ccccc1
Cathepsin S	 3.0	Homo sapiens	FC(F)(F)Oc1ccc(Nc2nc(nc(n2)N2CCOCC2)C#N)cc1
