Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES	Potency
Cathepsin K	20.0	Homo sapiens	CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)Nc1ccnn1C1CCCC1	2
Cathepsin K	20.0	Homo sapiens	O=C(NC1CCN(C1)C#N)OCc1ccccc1	2
Cathepsin K	20.2	Homo sapiens	CCC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Br)cc1)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)NC1CC1	2
Cathepsin K	20.89	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1CN(Cc2ccccc2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	20.9	Homo sapiens	CCC(NC(=O)c1ccc(OCc2ccccn2)c(c1Cl)C(F)(F)F)C(=O)C(=O)Nc1ccn(C)n1	2
Cathepsin K	21.0	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(Cc2ccccc2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	21.0	Homo sapiens	CCC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(I)cc1)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)NC1CC1	2
Cathepsin K	21.5	Homo sapiens	CCC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Cl)cc1)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)NCc1ccccc1	2
Cathepsin K	22.0	Homo sapiens	Nc1c(nc(nc1N1CCOCC1)C#N)N1CCCCC1	2
Cathepsin K	22.0	Homo sapiens	CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)Nc1ccnn1C1CCCCC1	2
Cathepsin K	22.0	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CC)CCCC1)C(=O)C(=O)Nc1cc(n[nH]1)-c1ccccc1	2
Cathepsin K	23.0	Homo sapiens	Cc1cccc(CNc2nc(nc(n2)N2CCNCC2)C#N)c1	2
Cathepsin K	23.0	Homo sapiens	COc1ccc(Nc2nc(NC3CCCCC3)nc(n2)C#N)cc1	2
Cathepsin K	23.0	Homo sapiens	Fc1ccc(cc1)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NCC#N	2
Cathepsin K	23.0	Homo sapiens	CCCCCC[C@H](NC(=O)OC(C)(C)C)C=O	2
Cathepsin K	23.0	Homo sapiens	Nc1c(NC2CCCCC2)nc(nc1N1CCOCC1)C#N	2
Cathepsin K	23.0	Homo sapiens	CC(C)C(Nc1cccc(c1)C(F)(F)F)C(=O)N1CCCCN1C#N	2
Cathepsin K	23.99	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CCc2ccccc2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	24.0	Homo sapiens	COCCNc1nc(nc(NCC(C)C)c1N)C#N	2
Cathepsin K	24.0	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(CC1(C)C)C(=O)OCc1ccccc1)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	24.0	Homo sapiens	CCCC[C@H](NC(=O)OC(C)(C)C)C=NNC(=O)C(F)(F)F	2
Cathepsin K	24.0	Homo sapiens	CC(C)C(Nc1ccc(Cl)cc1)C(=O)N1CCCCN1C#N	2
Cathepsin K	24.0	Homo sapiens	CC(C)C[C@H](NC(=O)Cc1[nH]cnc1C)C(=O)N[C@@H](COCc1ccccc1)C#N	2
