Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES	Potency
Cathepsin B	2300.0	Homo sapiens	CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1	0
Cathepsin B	2300.0	Homo sapiens	N#CN1Cc2cc3ccccc3nc2C1	0
Cathepsin B	2320.0	Homo sapiens	CC(C)C[C@H](NC(=O)c1ccc(CN2CCN(C)CC2)cc1)C(=O)NC1(CCS(=O)(=O)CC1)C#N	0
Cathepsin B	2340.0	Homo sapiens	CCC(CC)NCCCc1cc(nc(n1)C#N)-c1cccc(c1)C(F)(F)F	0
Cathepsin B	2371.0	Homo sapiens	O=C(NC1(CC1)C#N)[C@H](Cc1cscn1)NC(=O)c1ccc(cc1)-c1ccccc1	0
Cathepsin B	2374.0	Homo sapiens	CC(C)C[C@H](N[C@@H](c1ccc(cc1)-c1ccncc1)C(F)(F)F)C(=O)NCC#N	0
Cathepsin B	2400.0	Homo sapiens	CS(=O)(=O)c1ccc(cc1)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
Cathepsin B	2400.0	Homo sapiens	CN1C(N)=N[C@@]2([C@H]3OCCC[C@@H]3Oc3ccc(cc23)-c2cccnc2F)C1=O	0
Cathepsin B	2405.0	Homo sapiens	CC(C)CC(C(=O)NCC#N)c1cccc(c1)-c1ccc(cc1)N1CCNCC1	0
Cathepsin B	2476.0	Homo sapiens	CC(C)C[C@H](N[C@@H](c1ccc(cc1)-c1cccc(F)c1)C(F)(F)F)C(=O)NCC#N	0
Cathepsin B	2500.1	Homo sapiens	CC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)c1ccccc1)C(C)(C)C)C(=O)C(=O)NCC(=O)N1CCN(C)CC1	0
Cathepsin B	2500.1	Homo sapiens	CC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)c1ccnc2ccccc12)C(C)(C)C)C(=O)C(=O)NCC(=O)N1CCN(CC1)C(C)C	0
Cathepsin B	2500.1	Homo sapiens	CC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)c1ccccc1)C12CC3CC(CC(C3)C1)C2)C(=O)C(=O)NCC(=O)N1CCN(C)CC1	0
Cathepsin B	2500.1	Homo sapiens	[O-]C=O.CC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)C(=O)NCC(=O)N1CC[N+](C)(C)CC1	0
