Target Name	IC50 (nM)	Value	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin B	61.0	'='	Homo sapiens	CCCN1CCN(c2ccc(C(=O)NC3(C(=O)NCC#N)CCCCC3)cc2)CC1
Cathepsin B	300000.1	'>'	Homo sapiens	C[C@H](NC(=O)[C@H](CC(=O)N(C)C)NC(=O)[C@@H](NC(=O)CC(C)(C)C)C(C)(C)C)C(=O)C(F)(F)C(=O)NCc1ccccc1
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C1\CC(Nc2ccccc2)c2ccc(Br)cc21
Cathepsin B	500.0	'='	Homo sapiens	N#CN1CC(OCc2ccccc2)C1
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C(\Cc1ccccc1)c1ccccc1
Cathepsin B	13000.0	'='	Homo sapiens	N#Cc1nc(NCc2cccc(-c3ccc4[nH]ccc4c3)c2)c2ncn(CCCO)c2n1
Cathepsin B	15000.1	'>'	Homo sapiens	CC(C)c1ccccc1-c1cccc(CNc2nc(C#N)nc3c2ncn3CCCO)c1
Cathepsin B	500000.1	'>'	Homo sapiens	N#Cc1nc(Nc2ccc(OC(F)(F)F)cc2)nc(N2CCOCC2)n1
Cathepsin B	3000.0	'='	Homo sapiens	C=CC(=O)Nc1cc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ccc2N2CCOCC2)ccc1C
Cathepsin B	440.0	'='	Homo sapiens	CC[C@@H](C)[C@H](/N=C(\S)Nc1ccccc1)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12
Cathepsin B	100000.1	'>'	Homo sapiens	CN(C)CCOc1ccc(C(=O)NCC(=O)NCC#N)cc1C(=O)C(C)(C)c1cc(Cl)cc(Cl)c1
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C1\CCNc2ccc([N+](=O)[O-])cc21
Cathepsin B	1903.0	'='	Homo sapiens	CC(C)CC(NC(=O)c1ccccc1)C(=O)NCC#N
Cathepsin B	10000.1	'>'	Homo sapiens	CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc(N3CCN(CC(C)(C)N)CC3)cc2)c1
Cathepsin B	60000.0	'='	Homo sapiens	N#Cc1nc(Nc2ccc([N+](=O)[O-])cc2)nc(N2CCOCC2)n1
Cathepsin B	300.0	'='	Homo sapiens	N#CN1CC(CNS(=O)(=O)c2ccccc2)C1
Cathepsin B	50.0	'='	Homo sapiens	CCOC(=O)/C=C/C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
Cathepsin B	550.0	'='	Homo sapiens	CC(=O)CN1CCN(c2ccc(-c3cccc(C(CC(C)C)C(=O)NCC#N)c3)cc2)CC1
Cathepsin B	10000.1	'>'	Homo sapiens	CN1CCN(c2ccc(-c3cccc(C(Cc4ccccc4)C(=O)NCC#N)c3)cc2)CC1
Cathepsin B	2405.0	'='	Homo sapiens	CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc(N3CCNCC3)cc2)c1
Cathepsin B	10000.1	'>'	Homo sapiens	CCCC(C(=O)NCC#N)c1cccc(-c2ccc(N3CCN(C)CC3)cc2)c1
Cathepsin B	1000000.1	'>'	Homo sapiens	CCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)OCc1ccccc1
Cathepsin B	1000.1	'>'	Homo sapiens	O=C[C@H](Cc1c[nH]c2ccccc12)NC(=O)OCc1ccccc1
Cathepsin B	3900.0	'='	Homo sapiens	O=C[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)c1cccc2ccccc12
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C(\c1ccc(Br)cc1)c1cccc(C(=O)c2ccc(Br)cc2)c1
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C(\c1ccc(O)cc1)c1cccc(C(=O)c2ccc(O)cc2)c1
