Target Name	IC50 (nM)	Value	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin S	712.0	'='	Homo sapiens	CS(=O)(=O)N1CCc2c(c(-c3ccc(C(F)(F)F)c(SCCN4CCCC4)c3)nn2CC(O)CN2CCCCC2)C1
Cathepsin S	1035.0	'='	Homo sapiens	CC(=O)N1CCN(CCSc2cc(-c3nn(CC(O)CN4CCCCC4)c4c3CN(S(C)(=O)=O)CC4)ccc2C(F)(F)F)CC1
Cathepsin S	58.0	'='	Homo sapiens	CS(=O)(=O)N1CCc2c(c(-c3ccc(C(F)(F)F)c(SCCN4CCC(F)CC4)c3)nn2C[C@@H](O)CN2CCCCC2)C1
Cathepsin S	9000.0	'='	Homo sapiens	CN1CCc2c(c(-c3ccc(C(F)(F)F)c(SCCN4CCC(F)CC4)c3)nn2CC(O)CN2CCCCC2)C1
Cathepsin S	300.0	'='	Homo sapiens	CCCS(=O)(=O)N1CCc2c(c(-c3ccc(C(F)(F)F)c(SCCN4CCC(F)CC4)c3)nn2C[C@@H](O)CN2CCCCC2)C1
Cathepsin S	690.0	'='	Homo sapiens	CCC(=O)N1CCc2c(c(-c3ccc(C(F)(F)F)c(SCCN4CCC(F)CC4)c3)nn2C[C@@H](O)CN2CCCCC2)C1
Cathepsin S	245.0	'='	Homo sapiens	CC(O)C(=O)N1CCc2c(c(-c3ccc(C(F)(F)F)c(SCCN4CCC(F)CC4)c3)nn2C[C@@H](O)CN2CCCCC2)C1
Cathepsin S	220.0	'='	Homo sapiens	CS(=O)(=O)N1CCc2c(c(-c3ccc(C(F)(F)F)c(SCCN4CCCCC4)c3)nn2CC(O)CN2CCN(C3CC3)CC2)C1
Cathepsin S	2500.1	'>'	Homo sapiens	CC(C)CO[C@@H]1NC(=O)[C@H]1NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
Cathepsin S	6.1	'='	Homo sapiens	Cn1cnc2c(-c3ccc(OCCC4CCN(C(=O)CO)CC4)c(C(F)(F)F)c3)nc(C#N)nc21
Cathepsin S	2.6	'='	Homo sapiens	N#Cc1nc(-c2ccc(OCCC3CCNCC3)c(C(F)(F)F)c2)c2ccn(CC3CCCO3)c2n1
Cathepsin S	2.6	'='	Homo sapiens	N#Cc1nc(-c2ccc(OCCC3CCNCC3)c(C(F)(F)F)c2)c2ccn(C3CCOCC3)c2n1
Cathepsin S	3.5	'='	Homo sapiens	N#Cc1nc(-c2cnc(OCCC3CCNCC3)c(C(F)(F)F)c2)c2ccn(CC3CCOCC3)c2n1
Cathepsin S	2.8	'='	Homo sapiens	Cn1ccc2c(-c3cnc(OCCO[C@H]4CCNC4)c(C(F)(F)F)c3)nc(C#N)nc21
Cathepsin S	0.827	'='	Homo sapiens	CCCCNC(=O)C(=O)[C@H](CC)NC(=O)[C@@H]1C[C@@H](S(=O)(=O)c2ccccc2Cl)CN1C(=O)C1(c2ccc(Cl)cc2)CC1
Cathepsin S	1.0	'='	Homo sapiens	C[C@H](Oc1ccc(S(=O)(=O)[C@@H]2C[C@@H](C(=O)NC3(C#N)CC3)N(C(=O)C3(c4ncc(Br)cc4F)CN(CC(F)(F)F)C3)C2)c(Cl)c1)C(F)(F)F
Cathepsin S	7.0	'='	Homo sapiens	N#Cc1ncc2cc(COc3cccc(C(N)=O)c3)n(CCC3CCCCC3)c2n1
