Ligand SMILES	Potency
FC(F)(F)Oc1ccc(Nc2nc(nc(n2)N2CCOCC2)C#N)cc1	2
CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(nc1OCC1CCN(CC1)C(C)C)C#N	2
CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(nc1OCC1CCN(CCO)CC1)C#N	2
CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Cl)cc1)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)NCCc1ccc2ccccc2c1	2
CN1CCC[C@H]1C(=O)N1CCC(CCOc2ncc(cc2C(F)(F)F)-c2nc(nc3n(C)cnc23)C#N)CC1	2
FC(F)(F)c1cc(cnc1OCCC1CCNCC1)-c1nc(nc2n(CC(=O)N3CCOCC3)ccc12)C#N	2
CCN1CC(COc2ccc(cc2C(F)(F)F)-c2nc(nc3n(C)ccc23)C#N)C1	2
Cn1ccc2c(nc(nc12)C#N)-c1ccc(OCC2CCCNC2)c(c1)C(F)(F)F	2
CC(C)(C)CC(C)(C)NC(=O)C(=O)C(COCc1ccccc1)NC(=O)C(CC1CCCCC1)NC(=O)N1CCOCC1	2
CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)C(CC1CCCCC1)NC(=O)c1cc(OC)ccc1[N+]([O-])=O	2
CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC1CCCCC1)NC(=O)c1cc(OC)ccc1[N+]([O-])=O	2
CC(=O)Nc1ccc(cc1)C(=O)N[C@@H](C1CCCCC1)c1cn(nn1)C1(CC1)C#N	2
OCCN1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(CC4CCOC4)ccc23)C#N)CC1	2
CN1CCN(CC1)c1ccc(CCNC(=O)c2cnc(nc2NCC(C)(C)C)C#N)cc1	2
Fc1ccc(c(Cl)c1)S(=O)(=O)[C@H]1CCN(C1)c1nc(ncc1C(=O)NCC(F)(F)F)C#N	2
FC(F)(F)COc1ccc(c(Cl)c1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CNC1)c1ccc(Cl)cn1)C(=O)NC1(CC1)C#N	2
Cn1cnc2c(nc(nc12)C#N)-c1cnc(OCCC2CCN(CC2)C(C)(C)C)c(c1)C(F)(F)F	2
OCCN1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(CC4CCCO4)ccc23)C#N)CC1	2
CCN1CCC(CCOc2ncc(cc2C(F)(F)F)-c2nc(nc3n(CC4CCOCC4)ccc23)C#N)CC1	2
O=C(N[C@@H](C1CCCCC1)c1cn(nn1)C1(CC1)C#N)c1cccs1	2
OC[C@H]1C[C@@H](CN1c1ccnc(n1)C#N)S(=O)(=O)c1ccccc1C(F)(F)F	2
CCOc1ccccc1-c1ccc(cc1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)C(F)(F)F)C(=O)NC1(CC1)C#N	2
Fc1cc(Cl)cnc1C1(CC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ncccc1C(F)(F)F	2
COc1ccc(c(Cl)c1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CN(C1)C(=O)OC(C)(C)C)c1ccc(Cl)cn1)C(=O)NC1(CC1)C#N	2
Cc1nncn1-c1ccc(c(c1)C(F)(F)F)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)C(F)(F)F)C(=O)NC1(CC1)C#N	2
CN(C)CCCOc1ccc(cc1C(F)(F)F)-c1cc2n(C)nnc2c(n1)C#N	2
N#Cc1nc(-c2ccc(OCCC3CCNCC3)c(c2)C#N)c2ccn(CC3CCOC3)c2n1	2
CN1CCC[C@H]1C(=O)N1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(ccc23)C2COC2)C#N)CC1	2
Cc1noc(C)c1CN1CCC(CCOc2ccc(cc2C(F)(F)F)-c2cc3n(C)cnc3c(n2)C#N)CC1	2
Cn1c(nc2c(nc(nc12)C#N)-c1cnc(OCCC2CCNCC2)c(c1)C(F)(F)F)C(F)(F)F	2
CCC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Cl)cc1)S(=O)(=O)c1ccc(cc1Cl)N1CCOCC1)C(=O)C(=O)NC1CC1	2
CN1CCC[C@H]1C(=O)N1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(CC4CCCO4)ccc23)C#N)CC1	2
CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC1CCCCC1)NC(=O)C1(C)CC1	2
FC(F)(F)c1cc(cnc1OCCC1CCNCC1)-c1nc(nc2n(CC3CCOC3)ccc12)C#N	2
CN1CCC[C@@H]1C(=O)N1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(C)cnc23)C#N)CC1	2
Fc1cc(Cl)cnc1C1(CC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)Sc1cc(ccc1Cl)C(F)(F)F	2
C[C@H](Oc1ccc(c(Cl)c1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CNC1)c1ncc(Br)cc1F)C(=O)NC1(CC1)C#N)C(F)(F)F	2
FC(F)(F)c1cc(cnc1OCCC1CCNCC1)-c1nc(nc2n(CC3CCOCC3)ccc12)C#N	2
CS(=O)(=O)Nc1ccc(cc1)C(=O)N[C@@H](C1CCCCC1)c1cn(nn1)C1(CC1)C#N	2
CN1CCC[C@H]1C(=O)N1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(C)cnc23)C#N)CC1	2
C[C@H](Oc1ccc(c(Cl)c1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CN(C1)C(=O)OC(C)(C)C)c1ncc(Br)cc1F)C(=O)NC1(CC1)C#N)C(F)(F)F	2
FC(F)(F)CNC(=O)c1cnc(nc1N1CC[C@@H](C1)S(=O)(=O)c1ccc(cc1Cl)N1CCN(CC1)C1CC1)C#N	2
OCc1ccccc1-c1ccc(cc1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)C(F)(F)F)C(=O)NC1(CC1)C#N	2
CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC1CCCCC1)NC(=O)c1cc(SC)ccc1Cl	2
FC(F)(F)c1ccccc1S(=O)(=O)[C@H]1C[C@H](CN2CCC(F)(F)C2)N(C1)c1ccnc(n1)C#N	2
CN1CCC[C@H]1C(=O)N1CCCC(COc2ccc(cc2C(F)(F)F)-c2nc(nc3n(C)ccc23)C#N)C1	2
Cn1ccc2c(nc(nc12)C#N)-c1ccc(OCCC2CC3CCC(C2)N3)c(c1)C(F)(F)F	2
Cn1ccc2c(nc(nc12)C#N)-c1ccc(OCC2(C)CCNCC2)c(c1)C(F)(F)F	2
CC(C)(C)OC(=O)N1CC(C1)(C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ccc(OCC(F)(F)F)cc1Cl)c1ccc(Br)cn1	2
CCN1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(CC)ccc23)C#N)CC1	2
FC(F)(F)C(=O)N1CCN(CC1)C1(CC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ccccc1Cl	2
CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)C(F)(F)F)S(=O)(=O)c1ccccc1C(F)(F)F)C(=O)C(=O)NC1CC1	2
CC1(C)CCC(CC1)N1CCC1C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ccccc1Cl	2
CCN1CCC(C)(COc2ccc(cc2C(F)(F)F)-c2nc(nc3n(C)ccc23)C#N)CC1	2
CCOc1ccc(cc1C(F)(F)F)-c1nc(nc2n(C)cnc12)C#N	2
CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC1CCCCC1)NC(=O)C=Cc1cc(OC)ccc1OC	2
FC(F)(F)COc1ccc(c(Cl)c1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CNC1)c1ccc(Br)cn1)C(=O)NC1(CC1)C#N	2
C[C@H](Oc1ccc(c(Cl)c1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CCN1)c1ncc(Cl)cc1F)C(=O)NC1(CC1)C#N)C(F)(F)F	2
CCOc1ccc(cc1C(F)(F)F)-c1nc(C#N)c2[nH]cnc2n1	2
